Date,Close/Last,Volume,Open,High,Low
6/25/2021,$396.05 ,1564381,$397.78 ,$400.64 ,$391.01 
6/24/2021,$392.62 ,1110238,$409.28 ,$409.38 ,$390.16 
6/23/2021,$406.12 ,869092,$400 ,$407.70 ,$397.04 
6/22/2021,$396.77 ,833740,$389.21 ,$399.58 ,$388.21 
6/21/2021,$389.21 ,890232,$387 ,$390.56 ,$376.42 
6/18/2021,$386.40 ,1420824,$375.36 ,$391.62 ,$374.61 
6/17/2021,$378.94 ,967933,$369.01 ,$381.01 ,$365.24 
6/16/2021,$369.70 ,1324757,$363.50 ,$377.01 ,$362.25 
6/15/2021,$362.26 ,780374,$354.98 ,$362.39 ,$354.45 
6/14/2021,$355.09 ,527348,$352.27 ,$356.36 ,$351.10 
6/11/2021,$349.18 ,328913,$346.61 ,$349.63 ,$345.12 
6/10/2021,$344.62 ,446190,$341.93 ,$347.92 ,$341.71 
6/9/2021,$343.71 ,559613,$350.79 ,$352.28 ,$343.05 
6/8/2021,$350.80 ,1415725,$339.40 ,$355 ,$339.29 
6/7/2021,$329.96 ,318078,$326.83 ,$330.53 ,$325.37 
6/4/2021,$327.40 ,449296,$318.75 ,$328.25 ,$318.75 
6/3/2021,$316.40 ,364844,$322.38 ,$324.11 ,$314.01 
6/2/2021,$320.69 ,351577,$321.93 ,$322.35 ,$317.55 
6/1/2021,$321.75 ,674161,$331.57 ,$333.96 ,$320.77 
5/28/2021,$328.72 ,553476,$327.25 ,$330.89 ,$325.50 
5/27/2021,$326.22 ,2156330,$322.63 ,$326.94 ,$321.21 
5/26/2021,$320.21 ,694570,$313.35 ,$321.16 ,$313.35 
5/25/2021,$312.90 ,514253,$314.77 ,$316.68 ,$309.15 
5/24/2021,$310.64 ,526861,$311.57 ,$313.89 ,$308.60 
5/21/2021,$308.68 ,545886,$311.12 ,$313.13 ,$306.78 
5/20/2021,$308.53 ,549324,$304.56 ,$310.84 ,$303.67 
5/19/2021,$301.60 ,773161,$290.43 ,$302.27 ,$288.15 
5/18/2021,$295.86 ,771239,$297.66 ,$302.42 ,$294.39 
5/17/2021,$293.95 ,517476,$298.62 ,$299.86 ,$290.12 
5/14/2021,$300.89 ,524445,$295.48 ,$301.81 ,$294.07 
5/13/2021,$293.36 ,803380,$294.17 ,$301.10 ,$286.82 
5/12/2021,$289.18 ,1110545,$296.56 ,$304.01 ,$287.82 
5/11/2021,$304.62 ,774602,$293.99 ,$308.69 ,$290 
